Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.36,37390
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.43,43230
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.26,51010
Machinists,0.28,50090
Metal-Refining Furnace Operators and Tenders,0.2,50570
"Pourers and Casters, Metal",0.11,39380
"Model Makers, Metal and Plastic",0.37,56290
Foundry Mold and Coremakers,0.35,42280
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.25,35510
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.17,36010
Tool and Die Makers,0.21,58310
"Welders, Cutters, Solderers, and Brazers",0.27,52900
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.21,42520
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.25,42550
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.32,39260
"Metal Workers and Plastic Workers, All Other",0.2,40050
Prepress Technicians and Workers,0.85,51930
Printing Press Operators,0.68,45800
Print Binding and Finishing Workers,0.85,35930
Laundry and Dry-Cleaning Workers,1.24,27590
"Pressers, Textile, Garment, and Related Materials",0.72,27370
Sewing Machine Operators,1.1,31320
Shoe and Leather Workers and Repairers,0.87,28180
"Sewers, Hand",1.39,33330
Textile Bleaching and Dyeing Machine Operators and Tenders,0.42,32280
"Textile Cutting Machine Setters, Operators, and Tenders",0.89,32650
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.52,30880
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.11,34690
Fabric and Apparel Patternmakers,3.51,71050
Upholsterers,0.33,40220
"Textile, Apparel, and Furnishings Workers, All Other",0.6,28640
Cabinetmakers and Bench Carpenters,0.55,47420
Furniture Finishers,0.87,40050
"Sawing Machine Setters, Operators, and Tenders, Wood",0.09,37640
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.26,35100
"Woodworkers, All Other",0.11,33140
Power Distributors and Dispatchers,0.46,99090
Power Plant Operators,0.64,90240
Stationary Engineers and Boiler Operators,1.63,86510
Water and Wastewater Treatment Plant and System Operators,0.52,69440
Chemical Plant and System Operators,0.15,67660
Gas Plant Operators,0.44,83680
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.14,80360
"Plant and System Operators, All Other",0.32,67940
Chemical Equipment Operators and Tenders,0.72,47370
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.38,52400
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.59,36300
"Grinding and Polishing Workers, Hand",0.67,43430
"Mixing and Blending Machine Setters, Operators, and Tenders",0.68,41250
"Cutters and Trimmers, Hand",0.79,31930
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.46,37640
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.72,37770
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.19,45890
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.53,44510
Jewelers and Precious Stone and Metal Workers,3.1,55120
Dental Laboratory Technicians,0.49,57550
Medical Appliance Technicians,1.16,43730
Ophthalmic Laboratory Technicians,0.91,37870
Packaging and Filling Machine Operators and Tenders,0.79,30270
"Painting, Coating, and Decorating Workers",0.73,37870
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.33,42070
Photographic Process Workers and Processing Machine Operators,1.35,45300
Computer Numerically Controlled Tool Operators,0.28,41570
Computer Numerically Controlled Tool Programmers,0.36,59080
Adhesive Bonding Machine Operators and Tenders,0.22,39300
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.69,32060
Cooling and Freezing Equipment Operators and Tenders,0.27,40550
Etchers and Engravers,0.66,36310
"Molders, Shapers, and Casters, Except Metal and Plastic",0.4,43800
"Paper Goods Machine Setters, Operators, and Tenders",0.46,36470
Helpers--Production Workers,0.28,31630
"Production Workers, All Other",0.49,34730
Transportation and Material Moving Occupations,0.91,42200
Aircraft Cargo Handling Supervisors,0.66,64090
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",0.99,64140
"Airline Pilots, Copilots, and Flight Engineers",1.79,155740
Airfield Operations Specialists,0.67,67950
Flight Attendants,2.08,49310
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1.0,34890
Driver/Sales Workers,0.72,33130
Heavy and Tractor-Trailer Truck Drivers,0.57,54500
Light Truck Drivers,0.89,41260
"Bus Drivers, Transit and Intercity",1.91,60450
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",1.31,42040
"Motor Vehicle Operators, All Other",0.95,40110
Locomotive Engineers,0.26,62690
Railroad Conductors and Yardmasters,1.3,61750
Subway and Streetcar Operators,5.15,77830
"Rail Transportation Workers, All Other",1.23,56470
Sailors and Marine Oilers,0.91,49390
"Captains, Mates, and Pilots of Water Vessels",1.07,90040
Motorboat Operators,1.27,47560
Ship Engineers,1.04,100020
Bridge and Lock Tenders,0.85,50400
Parking Attendants,1.67,28290
Automotive and Watercraft Service Attendants,1.29,23740
Traffic Technicians,2.3,61750
Transportation Inspectors,2.13,75410
Passenger Attendants,1.86,30190
"Aircraft Service Attendants and Transportation Workers, All Other",0.56,39970
Hoist and Winch Operators,0.13,68700
Industrial Truck and Tractor Operators,0.52,42390
Cleaners of Vehicles and Equipment,0.82,33990
"Laborers and Freight, Stock, and Material Movers, Hand",0.95,34920
Machine Feeders and Offbearers,0.25,33530
"Packers and Packagers, Hand",1.12,28720
Stockers and Order Fillers,0.88,30760
Gas Compressor and Gas Pumping Station Operators,0.56,75030
"Pump Operators, Except Wellhead Pumpers",0.57,48040
Refuse and Recyclable Material Collectors,1.28,59310
"Material Moving Workers, All Other",0.9,50720
