Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
Producers and Directors,3.05,119460
Athletes and Sports Competitors,0.76,197550
Coaches and Scouts,0.86,58400
Music Directors and Composers,2.79,86190
Broadcast Announcers and Radio Disc Jockeys,0.61,94610
"News Analysts, Reporters, and Journalists",1.99,89670
Public Relations Specialists,1.51,81820
Editors,3.28,88530
Technical Writers,0.87,83260
Writers and Authors,2.66,92780
Interpreters and Translators,0.85,77800
Court Reporters and Simultaneous Captioners,1.08,84220
Audio and Video Technicians,1.63,59950
Broadcast Technicians,2.16,60340
Sound Engineering Technicians,2.06,77830
Photographers,1.46,63850
"Camera Operators, Television, Video, and Film",2.06,98720
Film and Video Editors,2.44,90360
Healthcare Practitioners and Technical Occupations,0.94,99350
Chiropractors,0.73,100290
"Dentists, General",1.31,170640
Oral and Maxillofacial Surgeons,0.62,236450
"Dentists, All Other Specialists",1.08,221330
Dietitians and Nutritionists,1.06,71480
Optometrists,0.76,132810
Pharmacists,1.04,121900
Physician Assistants,1.45,128420
Podiatrists,1.67,153150
Occupational Therapists,1.42,95990
Physical Therapists,1.16,97380
Radiation Therapists,1.01,123080
Recreational Therapists,1.08,59750
Respiratory Therapists,0.77,79150
Speech-Language Pathologists,1.3,104180
Exercise Physiologists,0.78,67510
"Therapists, All Other",1.12,60350
Veterinarians,0.7,124590
Registered Nurses,0.89,93280
Nurse Anesthetists,0.57,206740
Nurse Midwives,0.91,117680
Nurse Practitioners,1.05,128720
Audiologists,0.76,89920
Anesthesiologists,1.07,236210
Family Medicine Physicians,0.53,198780
Obstetricians and Gynecologists,1.43,229600
"Pediatricians, General",1.69,177680
Psychiatrists,2.3,216570
"Physicians, All Other; and Ophthalmologists, Except Pediatric",1.62,183100
"Surgeons, Except Ophthalmologists",1.09,239950
Dental Hygienists,0.82,86990
"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",1.26,86720
Clinical Laboratory Technologists and Technicians,0.86,68260
Cardiovascular Technologists and Technicians,0.78,71160
Diagnostic Medical Sonographers,1.31,78680
Nuclear Medicine Technologists,0.88,91410
Radiologic Technologists and Technicians,0.88,74550
Magnetic Resonance Imaging Technologists,1.01,87870
